OPEID,School,City,SchoolType,DRATE1,subudis,unsubudis,grantstotal,loanstotal,loansgrantstotal
537300,Lake Washington Institute of Technology,Kirkland,Public,16.5,2994769,3584772,4369376,6579541,10948917
378100,Highline Community College,Des Moines,Public,17,2178695,1997888,10107500,4176583,14284083
537200,South Puget Sound Community College,Olympia,Public,17.5,2139055,2067672,6783695,4206727,10990422
380500,Yakima Valley Community College,Yakima,Public,17.9,4045081,3370635,11210696,7415716,18626412
1043400,Renton Technical College,Renton,Public,18.1,1263450,1460175,3508726,2723625,6232351
379200,Skagit Valley College,Mount Vernon,Public,19.1,1708169,2188951,5994372,3897120,9891492
377300,Clark College,Vancouver,Public,19.5,10045634,12630657,22494397,22676291,45170688
499900,Bellingham Technical College,Bellingham,Public,19.6,2391700,3305651,4985259,5697351,10682610
378000,Green River Community College,Auburn,Public,19.7,3703742,4547610,8901839,8251352,17153191
378400,Olympic College,Bremerton,Public,19.9,4069774,4729516,11022365,8799290,19821655
500100,Edmonds Community College,Lynnwood,Public,20.3,3691673,3944353,7840063,7636026,15476089
575200,Clover Park Technical College,Lakewood,Public,20.6,4026044,5776476,7324891,9802520,17127411
954400,Spokane Falls Community College,Spokane,Public,20.7,6693395,5320287,13073193,12013682,25086875
377900,Grays Harbor College,Aberdeen,Public,22.1,1176162,984669,4430567,2160831,6591398
500600,Walla Walla Community College,Walla Walla,Public,23.3,3484923,3715271,7693431,7200194,14893625
377000,Big Bend Community College,Moses Lake,Public,23.6,1681254,1420025,4572095,3101279,7673374
379300,Spokane Community College,Spokane,Public,24.7,11415088,10766709,18749921,22181797,40931718
380100,Wenatchee Valley College,Wenatchee,Public,24.8,3313588,3497478,8787037,6811066,15598103
530600,Bates Technical College,Tacoma,Public,25.2,1129013,1299890,3582804,2428903,6011707
378600,Peninsula College,Port Angeles,Public,27.6,2409469,2911354,4246022,5320823,9566845
378200,Lower Columbia College,Longview,Public,27.7,3277825,4106204,7207026,7384029,14591055
3466400,The Seattle School of Theology and Psychology,Seattle,Private,5.9,,,,,
